video_id,title,channel,category,publish_date,views,likes,comments,duration_sec
vid024,"Three Chords, One Take",Lo-Fi Attic,Music,2026-07-15,2013304,80419,10062,3600
vid031,Cheapest Way to Cross a Country,Trail Notes,Travel,2026-07-18,241607,17105,1317,348
vid001,  I Built a City Entirely Underwater  ,PixelForge,Gaming,2026-08-10,168192,12607,833,348
vid007,The Boss Nobody Has Beaten Legitimately,PixelForge,Gaming,2026-07-11,376846,28121,2081,3600
vid041,The Case for a Slower Computer,Deskbound,Tech,2026-07-15,203708,14120,1134,94
vid018,The Hidden Cost of Cheap Concrete,Groundwork Science,Education,2026-07-23,1842441,126542,16592,348
vid027,"Practice Session, Unedited",Lo-Fi Attic,Music,2026-07-14,1430545,88168,12152,3600
vid009,I Tested 7 Pizza Doughs,The Sunday Kitchen,Food,2026-08-07,1092058,,4408,3600
vid036,This $40 Keyboard Beat My $200 One,Deskbound,Tech,2026-07-08,1129470,33778,3506,1080
vid017,How Batteries Actually Store Energy,Groundwork Science,Education,2026-07-08,860599,60902,5254,212
vid030,I Walked the Whole Coast Path,Trail Notes,TRAVEL,2026-07-01,609571,15611,1604,1080
vid039,"Every Cable I Own, Explained",Deskbound,Tech,2026-08-03,"64,244",2290,308,1080
vid022,"Rain, Coffee, and a Cheap Piano",Lo-Fi Attic,Music,2026-07-22,464526,13155,1219,1080
vid037,My Entire Setup Runs on One Cable,Deskbound,Tech,2026-07-20,483582,33695,2502,94
vid003,"Every Secret Level, Ranked",PixelForge,Gaming,2026-07-14,1340944,68885,2524,94
vid035,The Village at the End of the Line,Trail Notes,TRAVEL,2026-08-09,904609,65444,2441,94
vid011,Feeding Six People for the Price of Two,The Sunday Kitchen,Food,2026-07-04,79432,3939,452,94
vid002,Beating the Game Without Jumping,PixelForge,Gaming,2026-07-08,1177580,66599,5225,612
vid019,Why Your Wifi Dies in One Room,Groundwork Science,Education,2026-07-20,1215598,28955,1756,3600
vid004,A Speedrun Where Everything Goes Wrong,PixelForge,Gaming,2026-07-28,1852881,69574,9514,612
vid025,"Slow Morning, Warm Tape",Lo-Fi Attic,MUSIC,2026-07-11,2264227,62241,2710,348
vid026,A Loop I Could Not Stop Making,Lo-Fi Attic,Music,2026-07-29,1702666,73360,7676,94
vid038,A Week With No Notifications,Deskbound,Tech,2026-08-09,1098366,42076,3985,495
vid021,Everything Wrong With the Water Cycle Diagram,Groundwork Science,Education,2026-07-23,1499212,84110,5217,612
vid013,The Bread I Make Every Single Week,The Sunday Kitchen,Food,2026-07-05,777832,21418,2149,3600
vid040,I Replaced My Laptop With a Phone,Deskbound,TECH,2026-08-02,734058,52346,1635,348
vid005,Reviewing the Worst-Rated Game of the Year,PixelForge,GAMING,2026-07-27,1153312,24678,1969,348
vid006,I Let Chat Design My Character,PixelForge,Gaming,2026-07-19,201422,6869,535,348
vid015,Why Bridges Don't Fall Down,Groundwork Science,EDUCATION,2026-07-03,355370,11293,765,1080
vid028,Something Quiet for the Drive Home,Lo-Fi Attic,Music,2026-07-30,1708238,55414,2210,495
vid034,"Ten Days, One Backpack",Trail Notes,Travel,2026-07-15,1447204,60637,5046,612
vid010,The Only Soup Recipe You Need,The Sunday Kitchen,FOOD,2026-07-05,873677,45081,3206,94
vid029,48 Hours in a Town With No Cars,Trail Notes,Travel,2026-08-04,1169483,68739,5942,495
vid008,One-Pan Dinners That Actually Work,The Sunday Kitchen,Food,2026-07-30,2100015,117055,9506,612
vid016,The Math Behind Traffic Jams,Groundwork Science,Education,2026-07-16,1472070,94636,10931,348
vid023,Late Night Study Set (1 Hour),Lo-Fi Attic,Music,2026-07-31,993886,24683,3330,495
vid033,Sleeping Rough in a Storm,Trail Notes,Travel,2026-08-02,1584300,87660,6578,348
vid014,What Restaurants Do That You Can Copy,The Sunday Kitchen,Food,2026-07-04,751950,33536,1266,212
vid042,Three Years With the Same Mouse,Deskbound,Tech,2026-08-04,22701,1064,138,94
vid020,How We Measure Things Too Big to Measure,Groundwork Science,EDUCATION,2026-08-05,1712234,93594,8221,1080
vid032,The Trail That Almost Beat Me,Trail Notes,Travel,2026-08-09,441129,11459,1474,3600
vid012,"Every Egg Method, Tested",The Sunday Kitchen,Food,2026-07-28,2303636,160688,7920,3600
vid007,The Boss Nobody Has Beaten Legitimately,PixelForge,Gaming,2026-07-11,376846,28121,2081,3600
